support,itemsets
1.0,frozenset({'ransomware=False'})
0.5963559915907498,frozenset({'year=<=2022'})
0.5963559915907498,"frozenset({'ransomware=False', 'year=<=2022'})"
0.314646110721794,"frozenset({'ransomware=False', 'month=Q4'})"
0.314646110721794,frozenset({'month=Q4'})
0.31394533987386125,"frozenset({'ransomware=False', 'month=Q1'})"
0.31394533987386125,frozenset({'month=Q1'})
0.2725998598458304,"frozenset({'ransomware=False', 'year=2024-2025'})"
0.2725998598458304,frozenset({'year=2024-2025'})
0.23686054660126138,frozenset({'vendor=Microsoft'})
0.23686054660126138,"frozenset({'ransomware=False', 'vendor=Microsoft'})"
0.22985283812193413,frozenset({'month=Q2'})
0.22985283812193413,"frozenset({'ransomware=False', 'month=Q2'})"
0.2291520672740014,"frozenset({'ransomware=False', 'year=<=2022', 'month=Q4'})"
0.2291520672740014,"frozenset({'year=<=2022', 'month=Q4'})"
0.20882971268395234,"frozenset({'year=<=2022', 'month=Q1'})"
0.20882971268395234,"frozenset({'ransomware=False', 'year=<=2022', 'month=Q1'})"
0.16818500350385424,"frozenset({'vendor=Microsoft', 'year=<=2022'})"
0.16818500350385424,"frozenset({'ransomware=False', 'vendor=Microsoft', 'year=<=2022'})"
0.14155571128241065,"frozenset({'month=Q3', 'ransomware=False'})"
0.14155571128241065,frozenset({'month=Q3'})
0.13104414856341975,"frozenset({'ransomware=False', 'year=2023'})"
0.13104414856341975,frozenset({'year=2023'})
0.12333566923615978,"frozenset({'year=<=2022', 'month=Q2'})"
0.12333566923615978,"frozenset({'ransomware=False', 'year=<=2022', 'month=Q2'})"
0.11142256482130343,frozenset({'cwe=Unknown'})
0.11142256482130343,"frozenset({'ransomware=False', 'cwe=Unknown'})"
0.1079187105816398,"frozenset({'vendor=Microsoft', 'product=Windows'})"
0.1079187105816398,"frozenset({'ransomware=False', 'product=Windows'})"
0.1079187105816398,"frozenset({'ransomware=False', 'vendor=Microsoft', 'product=Windows'})"
0.1079187105816398,frozenset({'product=Windows'})
0.0861948142957253,"frozenset({'vendor=Microsoft', 'month=Q1'})"
0.0861948142957253,"frozenset({'ransomware=False', 'vendor=Microsoft', 'month=Q1'})"
0.07918710581639804,"frozenset({'ransomware=False', 'year=2024-2025', 'month=Q1'})"
0.07918710581639804,"frozenset({'year=2024-2025', 'month=Q1'})"
0.07778556412053259,frozenset({'cwe=CWE-20'})
0.07778556412053259,"frozenset({'ransomware=False', 'cwe=CWE-20'})"
0.07638402242466713,"frozenset({'month=Q3', 'year=2024-2025', 'ransomware=False'})"
0.07638402242466713,"frozenset({'ransomware=False', 'year=<=2022', 'cwe=Unknown'})"
0.07638402242466713,"frozenset({'year=<=2022', 'cwe=Unknown'})"
0.07638402242466713,"frozenset({'month=Q3', 'year=2024-2025'})"
0.07217939733707078,"frozenset({'vendor=Microsoft', 'month=Q4'})"
0.07217939733707078,"frozenset({'ransomware=False', 'vendor=Microsoft', 'month=Q4'})"
0.06587245970567625,"frozenset({'ransomware=False', 'year=<=2022', 'cwe=CWE-20'})"
0.06587245970567625,"frozenset({'year=<=2022', 'cwe=CWE-20'})"
0.0644709180098108,"frozenset({'year=2024-2025', 'month=Q2'})"
0.0644709180098108,"frozenset({'ransomware=False', 'year=2024-2025', 'month=Q2'})"
0.0644709180098108,"frozenset({'ransomware=False', 'vendor=Microsoft', 'year=<=2022', 'month=Q1'})"
0.0644709180098108,"frozenset({'vendor=Microsoft', 'year=<=2022', 'month=Q1'})"
0.06377014716187807,"frozenset({'ransomware=False', 'year=<=2022', 'product=Windows'})"
0.06377014716187807,"frozenset({'ransomware=False', 'vendor=Microsoft', 'year=<=2022', 'product=Windows'})"
0.06377014716187807,"frozenset({'vendor=Microsoft', 'year=<=2022', 'product=Windows'})"
0.06377014716187807,"frozenset({'year=<=2022', 'product=Windows'})"
0.06166783461807989,"frozenset({'ransomware=False', 'cwe=CWE-78'})"
0.06166783461807989,frozenset({'cwe=CWE-78'})
0.05886475122634898,"frozenset({'ransomware=False', 'vendor=Apple'})"
0.05886475122634898,frozenset({'vendor=Apple'})
0.05746320953048353,"frozenset({'ransomware=False', 'vendor=Microsoft', 'year=<=2022', 'month=Q4'})"
0.05746320953048353,"frozenset({'vendor=Microsoft', 'year=<=2022', 'month=Q4'})"
0.05746320953048353,"frozenset({'ransomware=False', 'cwe=CWE-416'})"
0.05746320953048353,frozenset({'cwe=CWE-416'})
0.056762438682550806,frozenset({'vendor=Cisco'})
0.056762438682550806,"frozenset({'vendor=Cisco', 'ransomware=False'})"
0.056762438682550806,"frozenset({'ransomware=False', 'cwe=CWE-787'})"
0.056762438682550806,frozenset({'cwe=CWE-787'})
0.05606166783461808,frozenset({'cwe=CWE-119'})
0.05606166783461808,"frozenset({'ransomware=False', 'cwe=CWE-119'})"
0.05255781359495445,frozenset({'vendor=Adobe'})
0.05255781359495445,"frozenset({'ransomware=False', 'year=2024-2025', 'month=Q4'})"
0.05255781359495445,"frozenset({'ransomware=False', 'vendor=Adobe'})"
0.05255781359495445,"frozenset({'year=2024-2025', 'month=Q4'})"
0.05185704274702172,"frozenset({'ransomware=False', 'vendor=Microsoft', 'month=Q2'})"
0.05185704274702172,"frozenset({'vendor=Microsoft', 'month=Q2'})"
0.050455501051156273,"frozenset({'year=<=2022', 'cwe=CWE-119'})"
0.050455501051156273,"frozenset({'ransomware=False', 'year=<=2022', 'cwe=CWE-119'})"
0.049754730203223546,"frozenset({'ransomware=False', 'vendor=Microsoft', 'year=2024-2025'})"
0.049754730203223546,"frozenset({'vendor=Microsoft', 'year=2024-2025'})"
0.046250875963559916,frozenset({'cwe=CWE-22'})
0.046250875963559916,"frozenset({'ransomware=False', 'product=Multiple Products'})"
0.046250875963559916,"frozenset({'ransomware=False', 'cwe=CWE-22'})"
0.046250875963559916,frozenset({'product=Multiple Products'})
0.04555010511562719,"frozenset({'ransomware=False', 'vendor=Google'})"
0.04555010511562719,frozenset({'vendor=Google'})
0.042747021723896286,"frozenset({'cwe=Unknown', 'month=Q4'})"
0.042747021723896286,"frozenset({'vendor=Cisco', 'year=<=2022', 'ransomware=False'})"
0.042747021723896286,"frozenset({'ransomware=False', 'cwe=Unknown', 'month=Q4'})"
0.042747021723896286,"frozenset({'vendor=Cisco', 'year=<=2022'})"
0.04204625087596356,"frozenset({'ransomware=False', 'vendor=Microsoft', 'cwe=Unknown'})"
0.04204625087596356,"frozenset({'month=Q2', 'year=2023'})"
0.04204625087596356,"frozenset({'vendor=Microsoft', 'cwe=Unknown'})"
0.04204625087596356,"frozenset({'ransomware=False', 'month=Q2', 'year=2023'})"
0.04134548002803083,"frozenset({'ransomware=False', 'year=<=2022', 'cwe=CWE-787'})"
0.04134548002803083,"frozenset({'vendor=Adobe', 'year=<=2022'})"
0.04134548002803083,"frozenset({'ransomware=False', 'year=<=2022', 'vendor=Adobe'})"
0.04134548002803083,"frozenset({'year=<=2022', 'cwe=CWE-787'})"
0.039943938332165384,"frozenset({'vendor=Microsoft', 'year=<=2022', 'month=Q2'})"
0.039943938332165384,"frozenset({'ransomware=False', 'vendor=Microsoft', 'year=<=2022', 'month=Q2'})"
0.03714085494043448,"frozenset({'product=Windows', 'month=Q1'})"
0.03714085494043448,"frozenset({'ransomware=False', 'vendor=Microsoft', 'product=Windows', 'month=Q1'})"
0.03714085494043448,"frozenset({'vendor=Microsoft', 'product=Windows', 'month=Q1'})"
0.03714085494043448,"frozenset({'ransomware=False', 'product=Windows', 'month=Q1'})"
0.035739313244569026,"frozenset({'ransomware=False', 'cwe=CWE-502'})"
0.035739313244569026,frozenset({'cwe=CWE-502'})
0.0350385423966363,"frozenset({'month=Q3', 'year=<=2022'})"
0.0350385423966363,"frozenset({'month=Q3', 'year=<=2022', 'ransomware=False'})"
0.03433777154870357,"frozenset({'ransomware=False', 'vendor=Apple', 'year=<=2022'})"
0.03433777154870357,"frozenset({'year=2024-2025', 'product=Windows'})"
0.03433777154870357,"frozenset({'vendor=Apple', 'year=<=2022'})"
0.03433777154870357,"frozenset({'vendor=Microsoft', 'product=Windows', 'year=2024-2025'})"
0.03433777154870357,"frozenset({'ransomware=False', 'vendor=Microsoft', 'product=Windows', 'year=2024-2025'})"
0.03433777154870357,"frozenset({'ransomware=False', 'year=2024-2025', 'product=Windows'})"
0.03363700070077085,"frozenset({'ransomware=False', 'cwe=CWE-94'})"
0.03363700070077085,frozenset({'cwe=CWE-94'})
0.032936229852838124,"frozenset({'year=2023', 'month=Q4'})"
0.032936229852838124,"frozenset({'vendor=Cisco', 'month=Q1'})"
0.032936229852838124,"frozenset({'ransomware=False', 'year=2023', 'month=Q4'})"
0.032936229852838124,"frozenset({'ransomware=False', 'year=<=2022', 'cwe=CWE-416'})"
0.032936229852838124,"frozenset({'vendor=Cisco', 'month=Q1', 'ransomware=False'})"
0.032936229852838124,"frozenset({'ransomware=False', 'vendor=Microsoft', 'year=<=2022', 'cwe=Unknown'})"
0.032936229852838124,"frozenset({'vendor=Microsoft', 'year=<=2022', 'cwe=Unknown'})"
0.032936229852838124,"frozenset({'year=<=2022', 'cwe=CWE-416'})"
0.0322354590049054,"frozenset({'product=Windows', 'month=Q4'})"
0.0322354590049054,"frozenset({'ransomware=False', 'vendor=Microsoft', 'product=Windows', 'month=Q4'})"
0.0322354590049054,"frozenset({'ransomware=False', 'product=Windows', 'month=Q4'})"
0.0322354590049054,"frozenset({'vendor=Microsoft', 'product=Windows', 'month=Q4'})"
0.03153468815697267,"frozenset({'ransomware=False', 'vendor=Apple', 'product=Multiple Products'})"
0.03153468815697267,"frozenset({'ransomware=False', 'year=<=2022', 'cwe=CWE-78'})"
0.03153468815697267,"frozenset({'vendor=Apple', 'product=Multiple Products'})"
0.03153468815697267,"frozenset({'year=<=2022', 'cwe=CWE-78'})"
0.030833917309039945,"frozenset({'vendor=Google', 'year=<=2022'})"
0.030833917309039945,"frozenset({'vendor=Cisco', 'year=<=2022', 'month=Q1', 'ransomware=False'})"
0.030833917309039945,"frozenset({'cwe=CWE-20', 'month=Q1'})"
0.030833917309039945,"frozenset({'ransomware=False', 'cwe=CWE-20', 'month=Q1'})"
0.030833917309039945,"frozenset({'ransomware=False', 'year=<=2022', 'vendor=Google'})"
0.030833917309039945,"frozenset({'vendor=Cisco', 'year=<=2022', 'month=Q1'})"
0.030133146461107218,"frozenset({'ransomware=False', 'year=<=2022', 'cwe=Unknown', 'month=Q4'})"
0.030133146461107218,"frozenset({'ransomware=False', 'cwe=Unknown', 'month=Q1'})"
0.030133146461107218,"frozenset({'month=Q3', 'year=2023'})"
0.030133146461107218,"frozenset({'cwe=Unknown', 'month=Q1'})"
0.030133146461107218,"frozenset({'year=<=2022', 'cwe=Unknown', 'month=Q4'})"
0.030133146461107218,"frozenset({'month=Q3', 'year=2023', 'ransomware=False'})"
0.02943237561317449,"frozenset({'ransomware=False', 'cwe=CWE-119', 'month=Q1'})"
0.02943237561317449,"frozenset({'cwe=CWE-119', 'month=Q1'})"
0.028731604765241767,"frozenset({'cwe=CWE-787', 'month=Q4'})"
0.028731604765241767,"frozenset({'ransomware=False', 'year=<=2022', 'cwe=CWE-22'})"
0.028731604765241767,"frozenset({'ransomware=False', 'cwe=CWE-787', 'month=Q4'})"
0.028731604765241767,"frozenset({'year=<=2022', 'cwe=CWE-22'})"
0.02803083391730904,"frozenset({'ransomware=False', 'vendor=Oracle'})"
0.02803083391730904,"frozenset({'year=<=2022', 'cwe=CWE-119', 'month=Q1'})"
0.02803083391730904,frozenset({'vendor=Oracle'})
0.02803083391730904,"frozenset({'ransomware=False', 'year=<=2022', 'cwe=CWE-119', 'month=Q1'})"
0.026629292221443588,"frozenset({'month=Q3', 'vendor=Microsoft', 'ransomware=False'})"
0.026629292221443588,"frozenset({'ransomware=False', 'year=<=2022', 'cwe=CWE-20', 'month=Q1'})"
0.026629292221443588,"frozenset({'year=<=2022', 'cwe=CWE-20', 'month=Q1'})"
0.026629292221443588,"frozenset({'ransomware=False', 'vendor=Apache'})"
0.026629292221443588,frozenset({'vendor=Apache'})
0.026629292221443588,"frozenset({'month=Q3', 'vendor=Microsoft'})"
0.02592852137351086,"frozenset({'cwe=CWE-20', 'month=Q4'})"
0.02592852137351086,"frozenset({'month=Q1', 'year=2023'})"
0.02592852137351086,"frozenset({'ransomware=False', 'year=<=2022', 'month=Q1', 'cwe=Unknown'})"
0.02592852137351086,"frozenset({'ransomware=False', 'month=Q1', 'year=2023'})"
0.02592852137351086,"frozenset({'ransomware=False', 'cwe=CWE-20', 'month=Q4'})"
0.02592852137351086,"frozenset({'cwe=Unknown', 'year=<=2022', 'month=Q1'})"
0.025227750525578137,"frozenset({'vendor=Google', 'product=Chromium V8'})"
0.025227750525578137,frozenset({'product=Chromium V8'})
0.025227750525578137,"frozenset({'ransomware=False', 'year=<=2022', 'cwe=CWE-787', 'month=Q4'})"
0.025227750525578137,"frozenset({'ransomware=False', 'product=Chromium V8', 'vendor=Google'})"
0.025227750525578137,"frozenset({'year=<=2022', 'cwe=CWE-787', 'month=Q4'})"
0.025227750525578137,"frozenset({'ransomware=False', 'product=Chromium V8'})"
0.02452697967764541,"frozenset({'month=Q2', 'cwe=Unknown'})"
0.02452697967764541,"frozenset({'year=<=2022', 'cwe=CWE-20', 'month=Q4'})"
0.02452697967764541,"frozenset({'ransomware=False', 'month=Q2', 'cwe=Unknown'})"
0.02452697967764541,"frozenset({'ransomware=False', 'year=<=2022', 'cwe=CWE-20', 'month=Q4'})"
0.023826208829712685,"frozenset({'product=Windows', 'month=Q1', 'ransomware=False', 'vendor=Microsoft', 'year=<=2022'})"
0.023826208829712685,"frozenset({'ransomware=False', 'vendor=Microsoft', 'month=Q2', 'product=Windows'})"
0.023826208829712685,"frozenset({'ransomware=False', 'vendor=Microsoft', 'product=Internet Explorer'})"
0.023826208829712685,"frozenset({'ransomware=False', 'vendor=Microsoft', 'year=<=2022', 'cwe=CWE-119'})"
0.023826208829712685,"frozenset({'year=<=2022', 'product=Windows', 'month=Q1'})"
0.023826208829712685,"frozenset({'ransomware=False', 'month=Q2', 'product=Windows'})"
0.023826208829712685,"frozenset({'cwe=CWE-78', 'month=Q1'})"
0.023826208829712685,"frozenset({'vendor=Microsoft', 'product=Internet Explorer'})"
0.023826208829712685,frozenset({'product=Internet Explorer'})
0.023826208829712685,"frozenset({'vendor=Microsoft', 'cwe=CWE-119'})"
0.023826208829712685,"frozenset({'ransomware=False', 'product=Internet Explorer'})"
0.023826208829712685,"frozenset({'month=Q2', 'product=Windows'})"
0.023826208829712685,"frozenset({'ransomware=False', 'cwe=CWE-78', 'month=Q1'})"
0.023826208829712685,"frozenset({'vendor=Microsoft', 'month=Q2', 'product=Windows'})"
0.023826208829712685,"frozenset({'ransomware=False', 'vendor=Microsoft', 'cwe=CWE-119'})"
0.023826208829712685,"frozenset({'vendor=Microsoft', 'year=<=2022', 'cwe=CWE-119'})"
0.023826208829712685,"frozenset({'vendor=Microsoft', 'year=<=2022', 'product=Windows', 'month=Q1'})"
0.023826208829712685,"frozenset({'ransomware=False', 'year=<=2022', 'product=Windows', 'month=Q1'})"
0.023125437981779958,"frozenset({'ransomware=False', 'vendor=Adobe', 'product=Flash Player'})"
0.023125437981779958,frozenset({'product=Flash Player'})
0.023125437981779958,"frozenset({'ransomware=False', 'product=Flash Player'})"
0.023125437981779958,"frozenset({'vendor=Adobe', 'product=Flash Player'})"
0.02242466713384723,"frozenset({'vendor=Adobe', 'month=Q1'})"
0.02242466713384723,"frozenset({'ransomware=False', 'vendor=Adobe', 'month=Q1'})"
0.021723896285914507,"frozenset({'ransomware=False', 'cwe=CWE-264'})"
0.021723896285914507,frozenset({'cwe=CWE-264'})
0.021723896285914507,"frozenset({'product=Multiple Products', 'year=<=2022'})"
0.021723896285914507,"frozenset({'ransomware=False', 'year=<=2022', 'product=Multiple Products'})"
0.02102312543798178,"frozenset({'product=Windows', 'ransomware=False', 'vendor=Microsoft', 'year=<=2022', 'month=Q4'})"
0.02102312543798178,"frozenset({'ransomware=False', 'vendor=Microsoft', 'year=<=2022', 'product=Internet Explorer'})"
0.02102312543798178,frozenset({'cwe=CWE-843'})
0.02102312543798178,"frozenset({'cwe=CWE-416', 'month=Q4'})"
0.02102312543798178,"frozenset({'vendor=Microsoft', 'year=<=2022', 'product=Windows', 'month=Q4'})"
0.02102312543798178,"frozenset({'ransomware=False', 'cwe=CWE-416', 'month=Q4'})"
0.02102312543798178,"frozenset({'year=<=2022', 'product=Windows', 'month=Q4'})"
0.02102312543798178,"frozenset({'cwe=CWE-843', 'ransomware=False'})"
0.02102312543798178,"frozenset({'vendor=Apple', 'month=Q4'})"
0.02102312543798178,"frozenset({'year=<=2022', 'product=Internet Explorer'})"
0.02102312543798178,"frozenset({'ransomware=False', 'year=<=2022', 'product=Windows', 'month=Q4'})"
0.02102312543798178,"frozenset({'ransomware=False', 'vendor=Apple', 'month=Q4'})"
0.02102312543798178,"frozenset({'vendor=Microsoft', 'year=<=2022', 'product=Internet Explorer'})"
0.02102312543798178,"frozenset({'ransomware=False', 'year=<=2022', 'product=Internet Explorer'})"
0.020322354590049056,frozenset({'cwe=CWE-287'})
0.020322354590049056,"frozenset({'year=<=2022', 'cwe=CWE-264'})"
0.020322354590049056,"frozenset({'ransomware=False', 'cwe=CWE-287'})"
0.020322354590049056,"frozenset({'year=2024-2025', 'cwe=CWE-78'})"
0.020322354590049056,"frozenset({'year=<=2022', 'product=Flash Player'})"
0.020322354590049056,"frozenset({'ransomware=False', 'year=2024-2025', 'cwe=CWE-78'})"
0.020322354590049056,"frozenset({'year=<=2022', 'vendor=Oracle'})"
0.020322354590049056,"frozenset({'ransomware=False', 'year=<=2022', 'cwe=CWE-264'})"
0.020322354590049056,"frozenset({'vendor=Adobe', 'year=<=2022', 'product=Flash Player'})"
0.020322354590049056,"frozenset({'ransomware=False', 'year=<=2022', 'product=Flash Player'})"
0.020322354590049056,"frozenset({'ransomware=False', 'year=<=2022', 'vendor=Oracle'})"
0.020322354590049056,"frozenset({'ransomware=False', 'year=<=2022', 'vendor=Adobe', 'product=Flash Player'})"
